Temperatura ambiente TG ValueY;Temperatura Bulbo Humedo ValueY;Presion Atmosferica ValueY;Potencia TG ValueY
8,256652832;7,399995327;971,7592529;14352,59482
8,211803436;7,399995327;970,6481445;14329,39971
8,122108459;7,299995422;971,0185059;14369,86719
7,628761292;6,899995804;971,1111084;14382,69805
7,673610687;6,999995708;970,555542;14366,90625
7,583911896;6,899995804;969,8148071;14377,76318
7,494213104;6,799995899;969,9074097;14368,38662
7,942710876;7,199995518;970,7407227;14375,78896
7,449363708;6,799995899;970,7407471;14399,971
7,673610687;6,999995708;970,4629639;14381,21787
7,404514313;6,699995995;969,722229;14404,4127
7,045715332;6,399996281;968,5185303;14426,62021
7,449363708;6,699995995;969,722229;14401,94482
7,494213104;6,799995899;970,3703735;14390,59414
7,628761292;6,899995804;971,5740479;14411,32129
7,942710876;7,199995518;970,6481201;14377,26963
8,839698792;7,999994755;972,6851685;14352,10117
9,153644562;8,399995804;972,0370117;14318,04922
10,54397964;9,5;972,7777588;14206,51689
11,171875;9,700000763;974,6296387;14207,99756
11,171875;9,600000381;973,333313;14186,77676
11,44097137;9,900001526;974,166687;14207,01045
11,39612198;9,900001526;974,1666504;14180,36143
11,93431854;10,20000267;974,1666748;14153,21875
11,93431854;10,40000343;974,7222412;14135,45273
12,65190887;10,80000496;974,8147949;14140,3874
12,87615585;11,20000648;975,4629395;14096,95938
13,36950302;11,40000725;974,722229;14066,85547
13,86284637;11,80000877;974,4444458;14038,72549
13,41435242;11,70000839;974,7222534;14044,64727
13,86284637;12,10000992;975;14016,02412
14,31134415;12,50001144;975,3703857;14024,90723
14,58044052;12,60001183;974,1666748;13991,34922
14,31134415;12,60001183;974,9073853;13926,20674
14,49074173;12,80001259;975,4629639;13933,60918
15,02893448;13,10001373;974,4444458;13981,47891
14,98408508;13,00001335;974,7222412;13961,73887
14,71498871;12,90001297;975,0000244;13990,85557
14,13194275;12,60001183;974,8148193;14004,18027
13,72829819;12,50001144;974,5370483;13998,75146
13,14525604;12,10000992;973,9814697;14037,73828
12,29311371;11,40000725;974,2592407;14098,43955
