Fecha;Temperatura Bulbo Húmedo ValueY;Presion Atmosferica ValueY;Temperatura T1 ValueY;Potencia TG ValueY;T amb ValueY;Temperatura entrada aire despues el enfriador;Temperatura entrada aire antes el enfriador;Pot Modelo Amb;Pot Modelo 1
2/5/18 0:00;6,399996281;964,6296387;7,975193024;14184,80293;7,853012085;7,22;6,75;14375,24163;14096,8155
2/5/18 1:00;6,499996185;964,722229;7,792778015;14201,08848;7,269966125;7,16;6,71;14384,48462;14119,32786
2/5/18 2:00;5,799996853;965,2777832;7,17256546;14243,53018;6,642074585;7,01;6,55;14455,02626;14173,6643
2/5/18 3:00;5,699996948;963,7963379;7,099597931;14244,51719;6,552371979;6,41;5,96;14446,00347;14169,997
2/5/18 4:00;5,699996948;963,7963135;6,807731628;14257,84189;6,417823792;6,28;5,8;14449,44637;14175,79989
2/5/18 5:00;5,499997139;963,0555664;6,58883667;14272,64678;6,238426208;6,02;5,57;14458,59387;14184,73772
2/5/18 6:00;5,399997234;963,6111206;6,58883667;14285,47813;6,283275604;5,88;5,39;14471,05537;14190,18413
2/5/18 7:00;5,399997234;963,7963257;7,099597931;14240,07549;6,417823792;5,86;5,41;14469,8786;14185,73733
2/5/18 8:00;7,499995232;965,1852051;9,799343109;14067,34902;9,781539917;6,28;5,8;14257,77012;13981,26955
2/5/18 9:00;8,199995041;967,2222046;13,55709839;13813,19395;11,08217621;8,6;8,09;14201,73849;13916,90288
2/5/18 10:00;9,099998474;969,4444336;12,42612457;13887,21943;12,06886673;11,53;10,86;14142,38606;13860,8081
2/5/18 11:00;9,700000763;971,2036865;13,15578079;13816,64863;13,50405121;9,98;11,95;14086,32287;13791,9168
2/5/18 12:00;9,900001526;972,5;13,66654205;13767,29814;14,98408508;10,61;12,91;14050,68967;13730,95091
2/5/18 13:00;9,700000763;970,5555298;13,48413086;13771,24609;15,65682983;10,94;14,15;14023,29979;13694,32101
2/5/18 14:00;10,50000381;970,1851563;14,06785583;13691,79189;16,015625;10,82;14,52;13955,09972;13649,6342
2/5/18 15:00;10,90000534;970,4629395;14,17730713;13687,35029;17,00231552;11,32;14,86;13906,00596;13595,86257
2/5/18 16:00;9,900001526;969,3518555;14,17730713;13709,55791;17,58535767;11,18;15,35;13945,59592;13595,70416
2/5/18 17:00;9,900001526;971,1110962;14,3962059;13676,49336;18,07870483;11,06;16,12;13954,49931;13587,30902
2/5/18 18:00;9,600000381;967,8703979;13,37467957;13737,19434;17,36111069;11,41;16,63;13953,63757;13604,46462
2/5/18 19:00;9,700000763;968,7963013;13,37467957;13712,02559;17,45080948;10,86;15,96;13955,86203;13604,06384
2/5/18 20:00;9,5;966,9444702;13,19226456;13738,6748;15,88107681;11;16,14;13986,9926;13664,83038
2/5/18 21:00;9,399999619;967,6852051;12,97336578;13714,49307;14,53559113;11;14,84;14037,30005;13731,59805
2/5/18 22:00;9,199998856;969,1666626;12,64502335;13800,85645;12,56221008;10,69;13,56;14119,55109;13834,18362
2/5/18 23:00;8,699996948;968,2407349;13,55709839;13722,38926;12,92100525;11,39;11,02;14133,09192;13828,49055
3/5/18 0:00;8,399995804;966,7592407;13,37467957;13780,12939;12,20341492;12,18;12,14;14153,75817;13858,52864
3/5/18 1:00;8,399995804;966,3888672;10,60197067;13979,01162;10,63368225;11,93;11,51;14189,39647;13923,51896
3/5/18 2:00;7,299995422;964,0740845;9,325065613;14066,85547;8,974246979;9,54;9,09;14278,45355;14014,57626
3/5/18 3:00;6,899995804;963,8889038;8,923751831;14085,6084;8,256652832;8,3;7,81;14321,79401;14057,41982
3/5/18 4:00;7,399995327;964,9074097;9,434513092;14057,97236;9,06394577;7,87;7,32;14279,54513;14013,49754
3/5/18 5:00;6,799995899;963,0555664;8,376502991;14099,92041;7,942710876;8,38;7,97;14326,44084;14068,17006
3/5/18 6:00;6,099996567;963,5185425;7,573879242;14171,97178;7,000865936;7,56;7,04;14403,88389;14135,36936
3/5/18 7:00;6,399996281;963,5185547;8,084640503;14169,01074;7,987560272;6,67;6,18;14358,20166;14082,87597
3/5/18 8:00;7,999994755;965,0000366;10,71141815;13968,64824;10,63368225;7,16;6,71;14199,64367;13926,59841
3/5/18 9:00;9,099998474;966,2036987;12,42612457;13816,15518;12,11371613;9,35;8,84;14101,58016;13835,14185
3/5/18 10:00;9,900001526;967,7777832;13,15578079;13761,86973;13,86284637;9,88;11,61;14021,59541;13744,72915
3/5/18 11:00;10,40000343;971,8518311;14,17730713;13658,72676;15,88107681;10,82;13,3;13985,7494;13670,95479
3/5/18 12:00;11,60000801;972,0370239;15,19882965;13594,07783;18,88599396;11,59;15,09;13829,38874;13502,95928
3/5/18 13:00;12,2000103;969,6296143;15,70959473;13503,7666;20,09693146;12,3;16,77;13728,07509;13413,22728
3/5/18 14:00;12,90001297;970,1851563;16,2203598;13494,39014;21,30786896;12,75;17,36;13656,20954;13341,88052
3/5/18 15:00;12,90001297;969,6296387;16,402771;13448,9875;22,87760544;12,97;18,11;13609,24063;13270,10973
3/5/18 16:00;12,50001144;970,9259033;16,91353607;13350,78018;21,98061371;13,11;18,5;13675,30118;13331,53939
3/5/18 17:00;13,00001335;967,6852295;16,91353607;13348,80625;22,96730423;13,62;19,6;13576,33993;13248,68964
3/5/18 18:00;12,80001259;966,666687;16,91353607;13333,01387;22,16001129;13,64;19,62;13598,15634;13282,67433
3/5/18 19:00;12,80001259;966,666687;16,2203598;13363,11797;20,67997742;13,68;19,7;13636,03159;13346,50819
3/5/18 20:00;12,80001259;965,8333618;15,89200974;13429,74111;19,33449173;13,68;19,11;13660,26591;13398,43655
3/5/18 21:00;13,3000145;965,5555542;15,01641464;13504,26035;17,58535767;13,4;17,97;13667,57438;13455,27998
3/5/18 22:00;12,30001068;965,2777588;14,28675461;13561,01318;17,09201431;12,99;15,57;13744,9072;13507,64825
3/5/18 23:00;12,70001221;964,6296387;14,35972214;13545,22109;16,95746613;12,4;14,92;13713,17618;13495,45527
4/5/18 0:00;12,40001106;965,0926147;14,17730713;13568,90947;16,015625;12,44;14,92;13763,37645;13549,40465
4/5/18 1:00;13,10001373;964,3518799;14,17730713;13573,35078;16,0604744;12,44;14,84;13705,48897;13518,85863
4/5/18 2:00;12,40001106;963,5185547;13,66654205;13600,0001;14,08709335;12,42;13,87;13793,46672;13621,05538
4/5/18 3:00;11,20000648;962,5926025;12,13425827;13724,36328;12,3828125;12,06;13,01;13907,47809;13727,52986
4/5/18 4:00;11,00000572;961,7592163;12,35315704;13704,12949;12,51736069;10,8;11,12;13907,45787;13722,24884
4/5/18 5:00;10,10000229;961,4814697;11,44107819;13770,75234;11,08217621;11;11,18;14002,08303;13811,92661
4/5/18 6:00;10,50000381;961,0185059;11,73294449;13737,68779;11,75491714;10,35;9,92;13951,95867;13766,27115
4/5/18 7:00;9,600000381;961,7592407;11,33163452;13795,42793;10,81307983;10,55;10,13;14046,42224;13842,12919
4/5/18 8:00;12,00000954;962,1296143;13,48413086;13644,41533;13,5489006;10,19;9,76;13817,48539;13647,34629
4/5/18 9:00;12,10000992;963,055542;14,87048721;13531,40283;15,07378387;11,57;12,14;13782,98263;13585,04617
4/5/18 10:00;12,60001183;963,8888916;15,60014725;13487,48086;16,68836975;12,54;14,5;13717,80848;13504,94937
4/5/18 11:00;13,20001411;968,8888916;15,70959473;13519,55879;18,97569275;13,01;16,08;13679,5967;13423,03733
4/5/18 12:00;12,30001068;969,6296387;15,70959473;13494,39004;20,23147964;12,89;16,36;13717,82146;13404,11193
4/5/18 13:00;12,40001106;968,3333252;15,89200974;13488,96162;21,26301956;12,61;17,64;13668,7493;13346,81624
4/5/18 14:00;12,70001221;967,9629517;16,2203598;13432,70186;22,47395706;12,71;18,36;13612,79585;13281,93886
4/5/18 15:00;12,50001144;969,4444336;16,91353607;13372,9877;23,2364006;12,93;19,01;13625,03525;13266,5285
4/5/18 16:00;14,10001755;966,666687;17,75264359;13242,20928;22,56365585;13,34;19,86;13499,28732;13222,20308
4/5/18 17:00;14,00001717;966,666687;17,24188232;13295,01416;22,24971008;14,5;20,06;13514,13217;13239,05602
4/5/18 18:00;13,70001602;965,0000366;17,35133362;13246,65078;21,80121613;13,99;18,9;13525,6462;13256,13209
4/5/18 19:00;12,80001259;965,4629761;16,5122261;13373,48135;20,63512802;14,11;19,68;13622,44903;13339,62777
4/5/18 20:00;12,60001183;966,8518677;15,70959473;13405,06543;20,27633286;13,4;18,76;13662,24876;13371,8984
4/5/18 21:00;12,80001259;966,8518555;14,76103592;13521,03906;18,03385544;13,19;18,62;13706,01395;13461,99142
4/5/18 22:00;11,70000839;966,4814941;13,66654205;13616,28574;15,56713104;12,58;16,14;13839,52513;13602,10622
4/5/18 23:00;11,70000839;965,7407715;12,8639183;13733,24639;14,8495369;11,79;14,45;13848,82442;13627,63175
5/5/18 0:00;10,90000534;965,1851807;13,15578079;13662,18135;13,23495483;11,18;12,95;13937,82968;13719,69981
5/5/18 1:00;10,50000381;964,9074219;12,75446701;13727,32432;12,56221008;11,93;11,59;13978,88962;13759,93113
5/5/18 2:00;10,00000191;964,722229;12,13425827;13753,97354;11,75491714;11,32;10,92;14031,33624;13809,95584
5/5/18 3:00;9,900001526;963,5185303;11,95184326;13793,94736;11,53067017;10,76;10,33;14029,15548;13814,1254
5/5/18 4:00;9,600000381;964,1666992;11,44107819;13852,67412;11,171875;10,67;10,19;14066,70142;13844,28417
5/5/18 5:00;9,399999619;962,6852051;11,14921188;13854,15469;10,72338104;10,21;9,82;14073,67056;13859,40367
5/5/18 6:00;8,999998093;963,888916;10,60197067;13890,67402;10,23003387;9,92;9,47;14128,2689;13902,74637
5/5/18 7:00;9,099998474;964,6296387;10,93031693;13892,15469;10,40943146;9,49;8,99;14125,93177;13897,1208
5/5/18 8:00;11,20000648;966,6666748;12,97336578;13734,2332;14,40104294;9,68;9,21;13905,68602;13670,31801
5/5/18 9:00;12,80001259;968,4259521;15,19882965;13570,38984;17,89930725;11,02;12,46;13728,72;13479,3216
5/5/18 10:00;13,10001373;968,8888916;16,585186;13440,59785;18,16840363;12,79;15,63;13707,0666;13461,16818
5/5/18 11:00;13,8000164;971,7592529;17,53374863;13394,70195;19,6932869;13,7;17,28;13655,4943;13393,23235
5/5/18 12:00;14,10001755;972,6851196;18,04450989;13356,20859;21,12847137;14,35;18,5;13609,6648;13328,17557
5/5/18 13:00;14,40001869;969,9073486;18,2269249;13314,26094;22,24971008;14,68;19,23;13526,54653;13249,53752
5/5/18 14:00;14,20001793;969,9999512;18,73768997;13243,196;23,19155121;14,92;20,1;13517,19873;13216,21898
5/5/18 15:00;14,70001984;971,2963257;19,02954865;13218,02744;23,99884415;15,13;21,08;13478,35008;13174,33145
